查詢公司名稱,公司名稱,統一編號,登記現況,資本總額(元),代表人姓名,公司所在地
台北富邦商業銀行股份有限公司,台北富邦商業銀行股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,03750168   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"180,000,000,000",蔡明興,臺北市中山區中山北路二段50號1、2、3、5、8、12樓 地址所屬公司家數: 1  電子地圖
台灣自來水股份有限公司,"台灣自來水股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
096年05月31日 發文號09601115820變更名稱 （前名稱：臺灣省自來水股份有限公司）",52242444   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"157,500,000,000",李嘉榮,臺中市北區樂英里14鄰雙十路二段2之1號 地址所屬公司家數: 1  電子地圖
富邦金融控股股份有限公司,富邦金融控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,03374805   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"200,000,000,000",蔡明興,臺北市中山區遼寧街179號15樓、16樓 地址所屬公司家數: 1  電子地圖
合作金庫金融控股股份有限公司,合作金庫金融控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,53021433   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"200,000,000,000",林衍茂,臺北市松山區長安東路二段225號17、19樓 地址所屬公司家數: 1  電子地圖
兆豐金融控股股份有限公司,兆豐金融控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,70796754   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"220,000,000,000",董瑞斌,臺北市中正區忠孝東路二段123號14至17樓、20樓至21樓 地址所屬公司家數: 1  電子地圖
南山人壽保險股份有限公司,南山人壽保險股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,11456006   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"180,000,000,000",尹崇堯,臺北市信義區莊敬路168號 地址所屬公司家數: 1  電子地圖
玉山商業銀行股份有限公司,玉山商業銀行股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,86517510   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"146,320,000,000",黃男州,臺北市松山區民生東路三段115號及117號 地址所屬公司家數: 1  電子地圖
台新金融控股股份有限公司,台新金融控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,80328055   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"350,000,000,000",吳東亮,臺北市大安區仁愛路四段118號12、13、15、16、21、22及23樓 地址所屬公司家數: 1  電子地圖
第一金融控股股份有限公司,第一金融控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,80351999   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"200,000,000,000",邱月琴,臺北市中正區重慶南路一段30號 地址所屬公司家數: 2  電子地圖
鴻海精密工業股份有限公司,"鴻海精密工業股份有限公司  Google搜尋  (出進口廠商英文名稱：HON HAI PRECISION INDUSTRY CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",04541302   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"180,000,000,000",劉揚偉,新北市土城區中山路66號 地址所屬公司家數: 3  電子地圖
華南金融控股股份有限公司,華南金融控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,70826764   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"180,000,000,000",陳芬蘭,臺北市信義區松仁路123號23樓、24樓、25樓、26樓及27樓 地址所屬公司家數: 1  電子地圖
台灣中油股份有限公司,"台灣中油股份有限公司  Google搜尋  (出進口廠商英文名稱：CPC CORPORATION, TAIWAN) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
096年02月09日 發文號09601034180變更名稱 （前名稱：中國石油股份有限公司）",03707901   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"130,100,000,000",方振仁,高雄市楠梓區宏南里左楠路2號 地址所屬公司家數: 1  電子地圖
元大金融控股股份有限公司,"元大金融控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
096年07月31日 發文號09601181700變更名稱 （前名稱：復華金融控股股份有限公司）",70796749   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"180,000,000,000",申鼎籛,臺北市大安區仁愛路三段157號6樓、8樓、10樓、13樓、16樓至20樓 地址所屬公司家數: 1  電子地圖
永豐金融控股股份有限公司,永豐金融控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,80333183   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"180,000,000,000",陳思寬,臺北市中山區八德路2段306號3樓、5至13樓及308號6樓之1、6樓之2 地址所屬公司家數: 1  電子地圖
聯華電子股份有限公司,聯華電子股份有限公司  Google搜尋  (出進口廠商英文名稱：UNITED MICROELECTRONICS CORP.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,47217677   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"260,000,000,000",洪嘉聰,新竹科學園區新竹市力行二路3號 地址所屬公司家數: 1  電子地圖
台新國際商業銀行股份有限公司,"台新國際商業銀行股份有限公司  Google搜尋  (出進口廠商英文名稱：Taishin International Bank CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",86519539   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"130,000,000,000",吳東亮,臺北市中山區中山北路二段44號1樓及地下1樓 地址所屬公司家數: 1  電子地圖
合作金庫商業銀行股份有限公司,合作金庫商業銀行股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,70799128   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"140,000,000,000",林衍茂,臺北市松山區長安東路二段225號 地址所屬公司家數: 7  電子地圖
國泰世華商業銀行股份有限公司,國泰世華商業銀行股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,04231910   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"128,220,969,530",郭明鑑,臺北市信義區松仁路7號1樓 地址所屬公司家數: 2  電子地圖
富邦人壽保險股份有限公司,"富邦人壽保險股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
098年06月01日 發文號09801100490變更名稱 （前名稱：安泰人壽保險股份有限公司）",27935073   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"150,000,000,000",林福星,臺北市信義區松高路77號8樓 地址所屬公司家數: 1  電子地圖
彰化商業銀行股份有限公司,"彰化商業銀行股份有限公司  Google搜尋  (出進口廠商英文名稱：CHANG HWA COMMERCIAL BANK, LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",51811609   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"120,000,000,000",胡光華,臺中市中區自由路二段38號 地址所屬公司家數: 1  電子地圖
第一商業銀行股份有限公司,"第一商業銀行股份有限公司  Google搜尋  (出進口廠商英文名稱：FIRST COMMERCIAL BANK CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",05052322   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"110,401,000,000",邱月琴,臺北市中正區重慶南路一段30號 地址所屬公司家數: 2  電子地圖
臺灣銀行股份有限公司,臺灣銀行股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,03557311   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"109,000,000,000",凌忠嫄,臺北市中正區建國里重慶南路一段120號 地址所屬公司家數: 1  電子地圖
華南商業銀行股份有限公司,華南商業銀行股份有限公司  Google搜尋  (出進口廠商英文名稱：HUA NAN COMMERCIAL BANK LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,03742301   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"104,450,000,000",陳芬蘭,臺北市信義區松仁路123號 地址所屬公司家數: 5  電子地圖
永豐商業銀行股份有限公司,"永豐商業銀行股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
095年11月13日 發文號09501251770變更名稱 （前名稱：建華商業銀行股份有限公司）",86517384   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"140,000,000,000",曹為實,臺北市中山區南京東路3段36號 地址所屬公司家數: 1  電子地圖
臺灣金融控股股份有限公司,臺灣金融控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,28428379   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"103,125,000,000",凌忠嫄,臺北市中正區重慶南路一段120號 地址所屬公司家數: 2  電子地圖
兆豐國際商業銀行股份有限公司,"兆豐國際商業銀行股份有限公司  Google搜尋  (出進口廠商英文名稱：MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
095年08月21日 發文號09501181190變更名稱 （前名稱：中國國際商業銀行股份有限公司）",03705903   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"96,118,000,000",董瑞斌,臺北市中山區中原里吉林路100號 地址所屬公司家數: 1  電子地圖
台塑石化股份有限公司,台塑石化股份有限公司  Google搜尋  (出進口廠商英文名稱：FORMOSA PETROCHEMICAL CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,86522210   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"95,259,596,520",曹明,雲林縣麥寮鄉中興村台塑工業園區1號之1 地址所屬公司家數: 7  電子地圖
臺灣中小企業銀行股份有限公司,臺灣中小企業銀行股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,03793407   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"100,000,000,000",李嘉祥,臺北市大同區玉泉里9鄰塔城街30號 地址所屬公司家數: 1  電子地圖
台灣美光晶圓科技股份有限公司,"台灣美光晶圓科技股份有限公司  Google搜尋  (出進口廠商英文名稱：MICRON TECHNOLOGY TAIWAN, INC.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
106年03月01日 發文號10601023070變更名稱 （前名稱：華亞科技股份有限公司）",80353271   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"91,558,241,760",盧東暉,桃園市龜山區文化里復興三路667號 地址所屬公司家數: 1  電子地圖
臺灣土地銀行股份有限公司,臺灣土地銀行股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,03700301   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"86,200,000,000",何英明,臺北市中正區黎明里10鄰館前路46號 地址所屬公司家數: 1  電子地圖
中龍鋼鐵股份有限公司,中龍鋼鐵股份有限公司  Google搜尋  (出進口廠商英文名稱：DRAGON STEEL CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,84613756   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"90,000,000,000",呂紹榮,臺中市龍井區龍昌路100號 地址所屬公司家數: 1  電子地圖
中華郵政股份有限公司,中華郵政股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,03741302   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"100,000,000,000",王國材,臺北市大安區永康里金山南路二段55號 地址所屬公司家數: 1  電子地圖
星展(台灣)商業銀行股份有限公司,星展(台灣)商業銀行股份有限公司  Google搜尋  (出進口廠商英文名稱：DBS BANK (TAIWAN) LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,53017509   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"90,000,000,000",伍維洪,臺北市信義區松仁路32、36號15、17樓 地址所屬公司家數: 1  電子地圖
新光人壽保險股份有限公司,新光人壽保險股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,03458902   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"90,000,000,000",魏寶生,臺北市中正區忠孝西路一段66號31-43樓 地址所屬公司家數: 1  電子地圖
國營臺灣鐵路股份有限公司,國營臺灣鐵路股份有限公司  Google搜尋  (出進口廠商英文名稱：State-owned Taiwan Railway Corporation LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,07524729   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"80,000,000,000",,臺北市中正區黎明里003鄰北平西路3號 地址所屬公司家數: 1  電子地圖
元大商業銀行股份有限公司,"元大商業銀行股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
096年08月16日 發文號09601199230變更名稱 （前名稱：復華商業銀行股份有限公司）",86517315   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"80,000,000,000",張財育,臺北市大安區仁愛路三段157號1至2樓及6至20樓 地址所屬公司家數: 1  電子地圖
群創光電股份有限公司,群創光電股份有限公司  Google搜尋  (出進口廠商英文名稱：INNOLUX CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,12800225   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"120,000,000,000",洪進揚,新竹科學園區苗栗縣竹南鎮科學路160號 地址所屬公司家數: 1  電子地圖
南亞塑膠工業股份有限公司,南亞塑膠工業股份有限公司  Google搜尋  (出進口廠商英文名稱：NAN YA PLASTICS CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,75370905   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"79,308,215,890",吳嘉昭,高雄市仁武區竹後里水管路101號 地址所屬公司家數: 1  電子地圖
中華電信股份有限公司,"中華電信股份有限公司  Google搜尋  (出進口廠商英文名稱：CHUNGHWA TELECOM CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",96979933   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"120,000,000,000",簡志誠,臺北市中正區信義路一段21之3號 地址所屬公司家數: 1  電子地圖
臺灣水泥股份有限公司,"臺灣水泥股份有限公司  Google搜尋  (出進口廠商英文名稱：TCC Group Holdings CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",11913502   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"100,000,000,000",張安平,臺北市中山區中山北路二段113號 地址所屬公司家數: 25  電子地圖
台灣美光記憶體股份有限公司,"台灣美光記憶體股份有限公司  Google搜尋  (出進口廠商英文名稱：MICRON MEMORY TAIWAN CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
102年08月21日 發文號1020020065變更名稱 （前名稱：瑞晶電子股份有限公司）",28518076   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"76,592,036,150",盧東暉,中部科學園區臺中市后里區三豐路4段369號 地址所屬公司家數: 1  電子地圖
友達光電股份有限公司,友達光電股份有限公司  Google搜尋  (出進口廠商英文名稱：AUO Corporation) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,84149738   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"120,000,000,000",彭双浪,新竹科學園區新竹市力行二路1號 地址所屬公司家數: 2  電子地圖
臺灣港務股份有限公司,臺灣港務股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,53026486   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"70,000,000,000",李賢義,高雄市鼓山區麗興里蓬萊路10號 地址所屬公司家數: 1  電子地圖
元大證券股份有限公司,"元大證券股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
096年06月07日 發文號09601125720變更名稱 （前名稱：元大寶來證券股份有限公司）",97160609   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"67,200,000,000",陳修偉,臺北市中山區南京東路三段219號11樓 地址所屬公司家數: 1  電子地圖
臺灣塑膠工業股份有限公司,臺灣塑膠工業股份有限公司  Google搜尋  (出進口廠商英文名稱：FORMOSA PLASTICS CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,75708007   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"63,657,407,810",郭文筆,高雄市仁武區竹後里水管路100號 地址所屬公司家數: 2  電子地圖
國泰人壽保險股份有限公司,國泰人壽保險股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,03374707   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"100,000,000,000",熊明河,臺北市大安區仁愛路4段296號 地址所屬公司家數: 16  電子地圖
台灣人壽保險股份有限公司,台灣人壽保險股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,03557017   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"64,000,000,000",許舒博,臺北市南港區經貿二路188號8樓 地址所屬公司家數: 1  電子地圖
中華航空股份有限公司,中華航空股份有限公司  Google搜尋  (出進口廠商英文名稱：CHINA AIRLINES LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,11145904   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"70,000,000,000",高星潢,桃園市大園區埔心里16鄰航站南路1號 地址所屬公司家數: 2  電子地圖
日月光半導體製造股份有限公司,"日月光半導體製造股份有限公司  Google搜尋  (出進口廠商英文名稱：ADVANCED SEMICONDUCTOR ENGINEERING, INC.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",76027628   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"95,000,000,000",張虔生,高雄市楠梓區經三路26號 地址所屬公司家數: 3  電子地圖
臺灣化學纖維股份有限公司,臺灣化學纖維股份有限公司  Google搜尋  (出進口廠商英文名稱：Formosa Chemicals And Fibre Corporation) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,58650902   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"58,611,862,910",洪福源,彰化縣彰化市中庄里中山路三段359號 地址所屬公司家數: 1  電子地圖
台灣康寧顯示玻璃股份有限公司,"台灣康寧顯示玻璃股份有限公司  Google搜尋  (出進口廠商英文名稱：CORNING DISPLAY TECHNOLOGIES TAIWAN CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",04388145   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"70,689,254,000",張錚(John Zhang),中部科學園區臺中市西屯區科園路1號 地址所屬公司家數: 1  電子地圖
三商美邦人壽保險股份有限公司,三商美邦人壽保險股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,84443471   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"95,000,000,000",翁肇喜,臺北市內湖區石潭路58號1樓 地址所屬公司家數: 1  電子地圖
統一企業股份有限公司,統一企業股份有限公司  Google搜尋  (出進口廠商英文名稱：UNI-PRESIDENT ENTERPRISES CORP.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,73251209   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"60,000,000,000",羅智先,臺南市永康區中正路301號 地址所屬公司家數: 5  電子地圖
台灣糖業股份有限公司,台灣糖業股份有限公司  Google搜尋  (出進口廠商英文名稱：TAIWAN SUGAR CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,03794905   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"56,367,498,650",吳明昌,臺南市東區生產路68號 地址所屬公司家數: 1  電子地圖
台灣高速鐵路股份有限公司,台灣高速鐵路股份有限公司  Google搜尋  (出進口廠商英文名稱：TAIWAN HIGH SPEED RAIL CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,16446274   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"120,000,000,000",史哲,臺北市南港區經貿二路66號13~15樓 地址所屬公司家數: 1  電子地圖
台中商業銀行股份有限公司,台中商業銀行股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,51816908   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"77,700,000,000",李瑞倉,臺中市西區民權路87號 地址所屬公司家數: 1  電子地圖
長榮航空股份有限公司,長榮航空股份有限公司  Google搜尋  (出進口廠商英文名稱：EVA AIRWAYS CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,23225229   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"70,000,000,000",林寶水,桃園市蘆竹區新南路1段376號 地址所屬公司家數: 1  電子地圖
遠東新世紀股份有限公司,"遠東新世紀股份有限公司  Google搜尋  (出進口廠商英文名稱：FAR EASTERN NEW CENTURY CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
098年10月19日 發文號09801241180變更名稱 （前名稱：遠東紡織股份有限公司）",03522600   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"60,000,000,000",徐旭東,臺北市大安區敦化南路二段207號36樓 地址所屬公司家數: 6  電子地圖
桃園國際機場股份有限公司,桃園國際機場股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,53002013   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"51,875,741,440",楊偉甫,桃園市大園區航站南路9號 地址所屬公司家數: 3  電子地圖
凱基人壽保險股份有限公司,"凱基人壽保險股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
112年11月09日 發文號11230158800變更名稱 （前名稱：中國人壽保險股份有限公司）",03434016   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"55,000,000,000",王銘陽,臺北市松山區敦化北路135號3、4、5、6、7樓 地址所屬公司家數: 1  電子地圖
花旗(台灣)商業銀行股份有限公司,花旗(台灣)商業銀行股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,28421312   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"66,033,000,000",張聖心,臺北市信義區松智路1號12、13、14、15、16樓 地址所屬公司家數: 1  電子地圖
臺灣新光商業銀行股份有限公司,臺灣新光商業銀行股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,97172648   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"60,000,000,000",賴進淵,臺北市信義區松仁路32號3、4、5、10、19、20、21樓、4樓之1、5樓之1、9樓之1及36號1、3、4、5、10、19、20、21樓、9樓之1 地址所屬公司家數: 1  電子地圖
臺銀人壽保險股份有限公司,臺銀人壽保險股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,28428384   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"53,500,000,000",張志宏,臺北市大安區敦化南路2段69號6樓 地址所屬公司家數: 1  電子地圖
